package	file	line	column	error_code	message
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	116	45	TS7031	Binding element 'state' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	117	7	TS7031	Binding element 'req' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	118	7	TS7031	Binding element 'res' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/authorization.ts	119	7	TS7031	Binding element 'response' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	1	25	TS2307	Cannot find module '@functions/auth/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	2	40	TS2307	Cannot find module '@lib/auth/constants/oauth_providers' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	3	23	TS2307	Cannot find module '@lib/auth/constants/pb' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	4	19	TS2307	Cannot find module '@lib/auth/forge' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	30	22	TS7031	Binding element 'response' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	44	19	TS7006	Parameter 'record' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	73	22	TS7031	Binding element 'response' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	73	32	TS7031	Binding element 'pb' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	78	37	TS7006	Parameter 'r' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	86	17	TS18046	'config' is of type 'unknown'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	87	17	TS18046	'config' is of type 'unknown'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	111	31	TS7031	Binding element 'provider' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	111	43	TS7031	Binding element 'body' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	111	49	TS7031	Binding element 'response' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	111	59	TS7031	Binding element 'pb' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	170	31	TS7031	Binding element 'id' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	170	37	TS7031	Binding element 'response' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	170	47	TS7031	Binding element 'pb' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	203	31	TS7031	Binding element 'id' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	203	37	TS7031	Binding element 'response' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/oauth/providers.ts	203	47	TS7031	Binding element 'pb' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/qrLogin.ts	79	55	TS2345	Argument of type '"users"' is not assignable to parameter of type 'never'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/twoFA.ts	1	34	TS2307	Cannot find module '@functions/auth/encryption' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/twoFA.ts	38	55	TS2345	Argument of type '"users"' is not assignable to parameter of type 'never'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/twoFA.ts	93	55	TS2345	Argument of type '"users"' is not assignable to parameter of type 'never'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/twoFA.ts	96	19	TS2345	Argument of type '"users"' is not assignable to parameter of type 'never'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/twoFA.ts	119	55	TS2345	Argument of type '"users"' is not assignable to parameter of type 'never'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/routes/twoFA.ts	122	19	TS2345	Argument of type '"users"' is not assignable to parameter of type 'never'.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/lifecycle.test.ts	1	50	TS2307	Cannot find module '@tests/e2e-setup' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/lifecycle.test.ts	2	63	TS2307	Cannot find module '@tests/utils' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/login.test.ts	1	50	TS2307	Cannot find module '@tests/e2e-setup' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/login.test.ts	2	63	TS2307	Cannot find module '@tests/utils' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/logout.test.ts	1	50	TS2307	Cannot find module '@tests/e2e-setup' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/logout.test.ts	2	50	TS2307	Cannot find module '@tests/utils' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/logout.test.ts	21	11	TS7006	Parameter 'res' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/me.test.ts	1	50	TS2307	Cannot find module '@tests/e2e-setup' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/me.test.ts	2	47	TS2307	Cannot find module '@tests/utils' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/refresh.test.ts	1	50	TS2307	Cannot find module '@tests/e2e-setup' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/refresh.test.ts	2	63	TS2307	Cannot find module '@tests/utils' or its corresponding type declarations.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/tests/refresh.test.ts	21	11	TS7006	Parameter 'res' implicitly has an 'any' type.
@lifeforge/lifeforge--notes	../../../apps/api/src/lib/auth/utils/2fa.ts	1	29	TS2307	Cannot find module '@functions/cache' or its corresponding type declarations.
